y,x,d,t
-4,-4,-4,-4
13,2,3,4
18,8,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,3,4
18,8,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,2,4
17,8,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,1,4
17,8,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,1,4
17,9,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,1,4
17,10,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,0,4
17,11,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,3,4
17,11,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,3,4
16,11,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,3,4
15,11,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,2,4
14,11,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,1,4
14,11,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,1,4
14,10,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,1,4
14,9,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,0,4
14,8,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,3,4
14,8,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,3,4
14,8,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,3,4
14,7,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,2,4
14,6,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,1,4
14,6,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,1,4
13,6,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,1,4
12,6,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,0,4
11,6,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,3,4
11,6,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,3,4
11,6,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,3,4
10,6,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,2,4
9,6,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,1,4
9,6,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,1,4
9,6,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,1,4
8,6,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,0,4
8,6,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,3,4
8,7,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,3,4
8,8,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,3,4
8,9,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,2,4
8,9,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,1,4
