x,y,d
8, 7 , 3
8, 6 , 3
8, 6 , 0
9, 6 , 0
10, 6 , 0
10, 6 , 3
10, 5 , 3
10, 4 , 3
10, 3 , 3
10, 3 , 2
9, 3 , 2
9, 3 , 3
9, 2 , 3
9, 1 , 3
9, 1 , 0
1, 10 , 0
1, 10 , 3
1, 9 , 3
1, 8 , 3
1, 8 , 0
2, 8 , 0
3, 8 , 0
4, 8 , 0
5, 8 , 0
5, 8 , 1
5, 9 , 1
5, 9 , 0
6, 9 , 0
7, 9 , 0
8, 9 , 0
8, 9 , 3
8, 8 , 3
8, 7 , 3
8, 6 , 3
8, 6 , 0
9, 6 , 0
10, 6 , 0
10, 6 , 3
10, 5 , 3
10, 4 , 3
10, 3 , 3
10, 3 , 2
9, 3 , 2
9, 3 , 3
9, 2 , 3
9, 1 , 3
9, 1 , 0
1, 10 , 0
1, 10 , 3
1, 9 , 3
1, 8 , 3
1, 8 , 0
2, 8 , 0
3, 8 , 0
4, 8 , 0
5, 8 , 0
5, 8 , 1
5, 9 , 1
5, 9 , 0
6, 9 , 0
7, 9 , 0
8, 9 , 0
8, 9 , 3
8, 8 , 3
8, 7 , 3
8, 6 , 3
8, 6 , 0
9, 6 , 0
10, 6 , 0
10, 6 , 3
10, 5 , 3
10, 4 , 3
10, 3 , 3
10, 3 , 2
9, 3 , 2
9, 3 , 3
9, 2 , 3
9, 1 , 3
9, 1 , 0
1, 10 , 0
1, 10 , 3
1, 9 , 3
1, 8 , 3
1, 8 , 0
2, 8 , 0
3, 8 , 0
4, 8 , 0
5, 8 , 0
5, 8 , 1
5, 9 , 1
5, 9 , 0
6, 9 , 0
7, 9 , 0
8, 9 , 0
8, 9 , 3
8, 8 , 3
8, 7 , 3
8, 6 , 3
8, 6 , 0
9, 6 , 0
10, 6 , 0
10, 6 , 3
10, 5 , 3
10, 4 , 3
10, 3 , 3
10, 3 , 2
9, 3 , 2
9, 3 , 3
9, 2 , 3
9, 1 , 3
9, 1 , 0
1, 10 , 0
1, 10 , 3
1, 9 , 3
1, 8 , 3
1, 8 , 0
2, 8 , 0
3, 8 , 0
4, 8 , 0
5, 8 , 0
5, 8 , 1
5, 9 , 1
5, 9 , 0
6, 9 , 0
7, 9 , 0
8, 9 , 0
8, 9 , 3
8, 8 , 3
8, 7 , 3
8, 6 , 3
8, 6 , 0
9, 6 , 0
10, 6 , 0
10, 6 , 3
10, 5 , 3
10, 4 , 3
10, 3 , 3
10, 3 , 2
9, 3 , 2
9, 3 , 3
9, 2 , 3
9, 1 , 3
9, 1 , 0
1, 10 , 0
1, 10 , 3
1, 9 , 3
1, 8 , 3
1, 8 , 0
2, 8 , 0
3, 8 , 0
4, 8 , 0
5, 8 , 0
5, 8 , 1
5, 9 , 1
5, 9 , 0
6, 9 , 0
7, 9 , 0
8, 9 , 0
8, 9 , 3
8, 8 , 3
8, 7 , 3
8, 6 , 3
8, 6 , 0
9, 6 , 0
10, 6 , 0
10, 6 , 3
10, 5 , 3
10, 4 , 3
10, 3 , 3
10, 3 , 2
9, 3 , 2
9, 3 , 3
9, 2 , 3
9, 1 , 3
9, 1 , 0
1, 10 , 0
1, 10 , 3
1, 9 , 3
1, 8 , 3
1, 8 , 0
2, 8 , 0
3, 8 , 0
4, 8 , 0
5, 8 , 0
5, 8 , 1
5, 9 , 1
5, 9 , 0
6, 9 , 0
7, 9 , 0
8, 9 , 0
8, 9 , 3
8, 8 , 3
8, 7 , 3
8, 6 , 3
8, 6 , 0
9, 6 , 0
10, 6 , 0
10, 6 , 3
10, 5 , 3
10, 4 , 3
10, 3 , 3
10, 3 , 2
9, 3 , 2
9, 3 , 3
9, 2 , 3
9, 1 , 3
9, 1 , 0
1, 10 , 0
1, 10 , 3
1, 9 , 3
1, 8 , 3
1, 8 , 0
2, 8 , 0
3, 8 , 0
4, 8 , 0
5, 8 , 0
5, 8 , 1
5, 9 , 1
5, 9 , 0
6, 9 , 0
7, 9 , 0
8, 9 , 0
8, 9 , 3
8, 8 , 3
8, 7 , 3
8, 6 , 3
8, 6 , 0
9, 6 , 0
10, 6 , 0
10, 6 , 3
10, 5 , 3
10, 4 , 3
10, 3 , 3
10, 3 , 2
9, 3 , 2
9, 3 , 3
9, 2 , 3
9, 1 , 3
9, 1 , 0
1, 10 , 0
1, 10 , 3
1, 9 , 3
1, 8 , 3
1, 8 , 0
2, 8 , 0
3, 8 , 0
4, 8 , 0
5, 8 , 0
5, 8 , 1
5, 9 , 1
5, 9 , 0
6, 9 , 0
7, 9 , 0
8, 9 , 0
8, 9 , 3
8, 8 , 3
8, 7 , 3
8, 6 , 3
8, 6 , 0
9, 6 , 0
10, 6 , 0
10, 6 , 3
10, 5 , 3
10, 4 , 3
10, 3 , 3
10, 3 , 2
9, 3 , 2
9, 3 , 3
9, 2 , 3
9, 1 , 3
9, 1 , 0
1, 10 , 0
1, 10 , 3
1, 9 , 3
1, 8 , 3
1, 8 , 0
2, 8 , 0
3, 8 , 0
4, 8 , 0
5, 8 , 0
5, 8 , 1
5, 9 , 1
5, 9 , 0
6, 9 , 0
7, 9 , 0
8, 9 , 0
8, 9 , 3
8, 8 , 3
8, 7 , 3
8, 6 , 3
8, 6 , 0
9, 6 , 0
10, 6 , 0
10, 6 , 3
10, 5 , 3
10, 4 , 3
10, 3 , 3
10, 3 , 2
9, 3 , 2
9, 3 , 3
9, 2 , 3
9, 1 , 3
9, 1 , 0
1, 10 , 0
1, 10 , 3
1, 9 , 3
1, 8 , 3
1, 8 , 0
2, 8 , 0
3, 8 , 0
4, 8 , 0
5, 8 , 0
5, 8 , 1
5, 9 , 1
5, 9 , 0
6, 9 , 0
7, 9 , 0
8, 9 , 0
8, 9 , 3
8, 8 , 3
8, 7 , 3
8, 6 , 3
8, 6 , 0
9, 6 , 0
10, 6 , 0
10, 6 , 3
10, 5 , 3
10, 4 , 3
10, 3 , 3
10, 3 , 2
9, 3 , 2
9, 3 , 3
9, 2 , 3
9, 1 , 3
9, 1 , 0
1, 10 , 0
1, 10 , 3
1, 9 , 3
1, 8 , 3
1, 8 , 0
2, 8 , 0
3, 8 , 0
4, 8 , 0
5, 8 , 0
5, 8 , 1
5, 9 , 1
5, 9 , 0
6, 9 , 0
7, 9 , 0
8, 9 , 0
8, 9 , 3
8, 8 , 3
8, 7 , 3
8, 6 , 3
8, 6 , 0
9, 6 , 0
10, 6 , 0
10, 6 , 3
10, 5 , 3
10, 4 , 3
10, 3 , 3
10, 3 , 2
9, 3 , 2
9, 3 , 3
9, 2 , 3
9, 1 , 3
9, 1 , 0
1, 10 , 0
1, 10 , 3
1, 9 , 3
1, 8 , 3
1, 8 , 0
2, 8 , 0
3, 8 , 0
4, 8 , 0
5, 8 , 0
5, 8 , 1
5, 9 , 1
5, 9 , 0
6, 9 , 0
7, 9 , 0
8, 9 , 0
8, 9 , 3
8, 8 , 3
8, 7 , 3
8, 6 , 3
8, 6 , 0
9, 6 , 0
10, 6 , 0
10, 6 , 3
10, 5 , 3
10, 4 , 3
10, 3 , 3
10, 3 , 2
9, 3 , 2
9, 3 , 3
9, 2 , 3
9, 1 , 3
9, 1 , 0
1, 10 , 0
1, 10 , 3
1, 9 , 3
1, 8 , 3
1, 8 , 0
2, 8 , 0
3, 8 , 0
4, 8 , 0
5, 8 , 0
5, 8 , 1
5, 9 , 1
5, 9 , 0
6, 9 , 0
7, 9 , 0
8, 9 , 0
8, 9 , 3
8, 8 , 3
8, 7 , 3
8, 6 , 3
8, 6 , 0
9, 6 , 0
10, 6 , 0
10, 6 , 3
10, 5 , 3
10, 4 , 3
10, 3 , 3
10, 3 , 2
9, 3 , 2
9, 3 , 3
9, 2 , 3
9, 1 , 3
9, 1 , 0
1, 10 , 0
1, 10 , 3
1, 9 , 3
1, 8 , 3
1, 8 , 0
2, 8 , 0
3, 8 , 0
4, 8 , 0
5, 8 , 0
5, 8 , 1
5, 9 , 1
5, 9 , 0
6, 9 , 0
7, 9 , 0
8, 9 , 0
8, 9 , 3
8, 8 , 3
8, 7 , 3
8, 6 , 3
8, 6 , 0
9, 6 , 0
10, 6 , 0
10, 6 , 3
10, 5 , 3
10, 4 , 3
10, 3 , 3
10, 3 , 2
9, 3 , 2
9, 3 , 3
9, 2 , 3
9, 1 , 3
9, 1 , 0
1, 10 , 0
1, 10 , 3
1, 9 , 3
1, 8 , 3
1, 8 , 0
2, 8 , 0
3, 8 , 0
4, 8 , 0
5, 8 , 0
5, 8 , 1
5, 9 , 1
5, 9 , 0
6, 9 , 0
7, 9 , 0
8, 9 , 0
8, 9 , 3
8, 8 , 3
8, 7 , 3
8, 6 , 3
8, 6 , 0
9, 6 , 0
10, 6 , 0
10, 6 , 3
10, 5 , 3
10, 4 , 3
10, 3 , 3
10, 3 , 2
9, 3 , 2
9, 3 , 3
9, 2 , 3
9, 1 , 3
9, 1 , 0
1, 10 , 0
1, 10 , 3
1, 9 , 3
1, 8 , 3
1, 8 , 0
2, 8 , 0
3, 8 , 0
4, 8 , 0
5, 8 , 0
5, 8 , 1
5, 9 , 1
5, 9 , 0
6, 9 , 0
7, 9 , 0
8, 9 , 0
8, 9 , 3
8, 8 , 3
8, 7 , 3
8, 6 , 3
8, 6 , 0
9, 6 , 0
10, 6 , 0
10, 6 , 3
10, 5 , 3
10, 4 , 3
10, 3 , 3
10, 3 , 2
9, 3 , 2
9, 3 , 3
9, 2 , 3
9, 1 , 3
9, 1 , 0
1, 10 , 0
1, 10 , 3
1, 9 , 3
1, 8 , 3
1, 8 , 0
2, 8 , 0
3, 8 , 0
4, 8 , 0
5, 8 , 0
5, 8 , 1
5, 9 , 1
5, 9 , 0
6, 9 , 0
7, 9 , 0
8, 9 , 0
8, 9 , 3
8, 8 , 3
8, 7 , 3
8, 6 , 3
8, 6 , 0
9, 6 , 0
10, 6 , 0
10, 6 , 3
10, 5 , 3
10, 4 , 3
10, 3 , 3
10, 3 , 2
9, 3 , 2
9, 3 , 3
9, 2 , 3
9, 1 , 3
9, 1 , 0
1, 10 , 0
1, 10 , 3
1, 9 , 3
1, 8 , 3
1, 8 , 0
2, 8 , 0
3, 8 , 0
4, 8 , 0
5, 8 , 0
5, 8 , 1
5, 9 , 1
5, 9 , 0
6, 9 , 0
7, 9 , 0
8, 9 , 0
8, 9 , 3
8, 8 , 3
8, 7 , 3
8, 6 , 3
8, 6 , 0
9, 6 , 0
10, 6 , 0
10, 6 , 3
10, 5 , 3
10, 4 , 3
10, 3 , 3
10, 3 , 2
9, 3 , 2
9, 3 , 3
9, 2 , 3
9, 1 , 3
9, 1 , 0
1, 10 , 0
1, 10 , 3
1, 9 , 3
1, 8 , 3
1, 8 , 0
2, 8 , 0
3, 8 , 0
4, 8 , 0
5, 8 , 0
5, 8 , 1
5, 9 , 1
5, 9 , 0
6, 9 , 0
7, 9 , 0
8, 9 , 0
8, 9 , 3
8, 8 , 3
8, 7 , 3
8, 6 , 3
8, 6 , 0
9, 6 , 0
10, 6 , 0
10, 6 , 3
10, 5 , 3
10, 4 , 3
10, 3 , 3
10, 3 , 2
9, 3 , 2
9, 3 , 3
9, 2 , 3
9, 1 , 3
9, 1 , 0
